 FIPS , Name , Race ,Total,Employed,Unemployed,NILF
 24510a ," Baltimore city, Maryland ", Latino ,18491,13914,1156,3421
 24510a ," Baltimore city, Maryland ", Non-Hispanic American Indian ,,,,
 24510a ," Baltimore city, Maryland ", Non-Hispanic Asian ,12818,8869,,3500
 24510a ," Baltimore city, Maryland ", Non-Hispanic black ,233780,135012,22223,76545
 24510a ," Baltimore city, Maryland ", Non-Hispanic white ,117454,92153,3167,22134
 24510a ," Baltimore city, Maryland ", Total ,392640,256821,27548,108271
 25005c , Bristol County (part) , All other non-Hispanic ,12888,7501,,4131
 25005c , Bristol County (part) , Latino ,21891,13621,1709,6561
 25005c , Bristol County (part) , Non-Hispanic American Indian ,,,,
 25005c , Bristol County (part) , Non-Hispanic Asian ,8179,5806,,1726
 25005c , Bristol County (part) , Non-Hispanic black ,12244,10280,,1616
 25005c , Bristol County (part) , Non-Hispanic white ,298305,225958,15542,56805
 25005c , Bristol County (part) , Total ,353573,263232,19502,70839
 25009c , Essex County (part) , All other non-Hispanic ,6852,4543,,1652
 25009c , Essex County (part) , Latino ,87707,65079,4745,17883
 25009c , Essex County (part) , Non-Hispanic American Indian ,,,,
 25009c , Essex County (part) , Non-Hispanic Asian ,16197,11154,,4271
 25009c , Essex County (part) , Non-Hispanic black ,14450,12513,,1436
 25009c , Essex County (part) , Non-Hispanic white ,330450,256200,11038,63212
 25009c , Essex County (part) , Total ,456535,350189,17713,88633
 25025a ," Boston city, Massachusetts ", All other non-Hispanic ,12829,9726,,2501
 25025a ," Boston city, Massachusetts ", Latino ,81773,57562,4093,20118
 25025a ," Boston city, Massachusetts ", Non-Hispanic American Indian ,,,,
 25025a ," Boston city, Massachusetts ", Non-Hispanic Asian ,42248,27851,1403,12994
 25025a ," Boston city, Massachusetts ", Non-Hispanic black ,99355,70863,8465,20027
 25025a ," Boston city, Massachusetts ", Non-Hispanic white ,205922,169544,6660,29718
 25025a ," Boston city, Massachusetts ", Total ,442466,335759,21305,85402
 25027c , Worcester County (part) , All other non-Hispanic ,9580,6560,1243,1777
 25027c , Worcester County (part) , Latino ,49501,34985,3807,10709
 25027c , Worcester County (part) , Non-Hispanic American Indian ,,,,
 25027c , Worcester County (part) , Non-Hispanic Asian ,25829,17570,1008,7251
 25027c , Worcester County (part) , Non-Hispanic black ,18977,13727,1388,3862
 25027c , Worcester County (part) , Non-Hispanic white ,392311,300139,19054,73118
 25027c , Worcester County (part) , Total ,497087,373410,26561,97116
 26081c , Kent County (part) , All other non-Hispanic ,6414,5316,,
 26081c , Kent County (part) , Latino ,35363,26013,2631,6719
 26081c , Kent County (part) , Non-Hispanic American Indian ,,,,
 26081c , Kent County (part) , Non-Hispanic Asian ,11623,8159,,2289
 26081c , Kent County (part) , Non-Hispanic black ,38276,26990,2436,8850
 26081c , Kent County (part) , Non-Hispanic white ,298869,239042,10365,49462
 26081c , Kent County (part) , Total ,390966,305650,16735,68581
 26099c , Macomb County (part) , All other non-Hispanic ,9673,7166,,2507
 26099c , Macomb County (part) , Latino ,12826,9204,1604,2018
 26099c , Macomb County (part) , Non-Hispanic American Indian ,1732,,,
 26099c , Macomb County (part) , Non-Hispanic Asian ,20309,13924,,5636
 26099c , Macomb County (part) , Non-Hispanic black ,61974,44548,4311,13115
 26099c , Macomb County (part) , Non-Hispanic white ,428879,314751,19672,94456
 26099c , Macomb County (part) , Total ,535393,390447,26494,118452
 26125c , Oakland County (part) , All other non-Hispanic ,9431,6707,,2344
 26125c , Oakland County (part) , Latino ,28696,21172,,6619
 26125c , Oakland County (part) , Non-Hispanic American Indian ,1273,873,,
 26125c , Oakland County (part) , Non-Hispanic Asian ,58243,43477,,13687
 26125c , Oakland County (part) , Non-Hispanic black ,110382,82417,7927,20038
 26125c , Oakland County (part) , Non-Hispanic white ,563047,429696,20784,112567
 26125c , Oakland County (part) , Total ,771072,584342,31075,155655
 26163a ," Detroit city, Michigan ", All other non-Hispanic ,7641,3865,,3030
 26163a ," Detroit city, Michigan ", Latino ,30268,16065,2622,11581
 26163a ," Detroit city, Michigan ", Non-Hispanic American Indian ,,,,
 26163a ," Detroit city, Michigan ", Non-Hispanic Asian ,5214,2771,,2265
 26163a ," Detroit city, Michigan ", Non-Hispanic black ,310517,155113,45142,110262
 26163a ," Detroit city, Michigan ", Non-Hispanic white ,40516,24606,1976,13934
 26163a ," Detroit city, Michigan ", Total ,395217,203050,50664,141503
 26163b , Remainder - Wayne County (part) , All other non-Hispanic ,11877,6537,,4779
 26163b , Remainder - Wayne County (part) , Latino ,27443,19969,1821,5653
 26163b , Remainder - Wayne County (part) , Non-Hispanic American Indian ,1213,1180,,
 26163b , Remainder - Wayne County (part) , Non-Hispanic Asian ,28638,20107,1869,6662
 26163b , Remainder - Wayne County (part) , Non-Hispanic black ,105224,68239,12087,24898
 26163b , Remainder - Wayne County (part) , Non-Hispanic white ,503121,356838,20333,125950
 26163b , Remainder - Wayne County (part) , Total ,677516,472870,36704,167942
 27053c , Hennepin County (part) , All other non-Hispanic ,19804,14851,,3589
 27053c , Hennepin County (part) , Latino ,48463,39394,,7806
 27053c , Hennepin County (part) , Non-Hispanic American Indian ,3997,2601,,
 27053c , Hennepin County (part) , Non-Hispanic Asian ,61609,48476,,11076
 27053c , Hennepin County (part) , Non-Hispanic black ,90154,67682,3635,18837
