FIPS, Name , Race ,Total,Employed,Unemployed,NILF
12011c," Broward County, FL ", All other non-Hispanic ,22548,16536,1858,4154
12011c," Broward County, FL ", Latino ,350745,272944,14681,63120
12011c," Broward County, FL ", Non-Hispanic American Indian ,1266,,,649
12011c," Broward County, FL ", Non-Hispanic Asian ,45213,31313,2927,10973
12011c," Broward County, FL ", Non-Hispanic black ,326260,232424,33543,60293
12011c," Broward County, FL ", Non-Hispanic white ,433498,327519,22716,83263
12011c," Broward County, FL ", Total ,1179530,881353,75725,222452
12031a," Jacksonville, FL ", All other non-Hispanic ,13296,9559,1355,2382
12031a," Jacksonville, FL ", Latino ,49005,38254,2309,8442
12031a," Jacksonville, FL ", Non-Hispanic American Indian ,,,,
12031a," Jacksonville, FL ", Non-Hispanic Asian ,27684,20877,,5844
12031a," Jacksonville, FL ", Non-Hispanic black ,160185,108722,12515,38948
12031a," Jacksonville, FL ", Non-Hispanic white ,310840,228780,13933,68127
12031a," Jacksonville, FL ", Total ,561704,406504,31075,124125
12057c," Hillsborough County, FL ", All other non-Hispanic ,20209,14880,,4797
12057c," Hillsborough County, FL ", Latino ,225630,159133,17203,49294
12057c," Hillsborough County, FL ", Non-Hispanic American Indian ,794,716,,
12057c," Hillsborough County, FL ", Non-Hispanic Asian ,33805,22445,1159,10201
12057c," Hillsborough County, FL ", Non-Hispanic black ,129088,85105,10745,33238
12057c," Hillsborough County, FL ", Non-Hispanic white ,426116,317696,16353,92067
12057c," Hillsborough County, FL ", Total ,835642,599975,46029,189638
12071c," Lee County, FL ", All other non-Hispanic ,6268,3404,,2240
12071c," Lee County, FL ", Latino ,85699,58981,2419,24299
12071c," Lee County, FL ", Non-Hispanic American Indian ,,,,
12071c," Lee County, FL ", Non-Hispanic Asian ,6886,4446,,2060
12071c," Lee County, FL ", Non-Hispanic black ,30520,20231,2024,8265
12071c," Lee County, FL ", Non-Hispanic white ,246576,164504,12177,69895
12071c," Lee County, FL ", Total ,376117,251642,17624,106851
12086c," Miami-Dade County, FL ", All other non-Hispanic ,9905,6749,,2938
12086c," Miami-Dade County, FL ", Latino ,1146472,826229,51813,268430
12086c," Miami-Dade County, FL ", Non-Hispanic American Indian ,,,,
12086c," Miami-Dade County, FL ", Non-Hispanic Asian ,28688,21168,,6765
12086c," Miami-Dade County, FL ", Non-Hispanic black ,267482,165939,27544,73999
12086c," Miami-Dade County, FL ", Non-Hispanic white ,210963,154501,5767,50695
12086c," Miami-Dade County, FL ", Total ,1663803,1174879,86097,402827
12095c," Orange County, FL ", All other non-Hispanic ,21932,16351,,4835
12095c," Orange County, FL ", Latino ,246951,180280,12948,53723
12095c," Orange County, FL ", Non-Hispanic American Indian ,,,,
12095c," Orange County, FL ", Non-Hispanic Asian ,46586,35425,,10508
12095c," Orange County, FL ", Non-Hispanic black ,163301,122737,11138,29426
12095c," Orange County, FL ", Non-Hispanic white ,350930,271107,12868,66955
12095c," Orange County, FL ", Total ,830899,626828,38464,165607
12099c," Palm Beach County, FL ", All other non-Hispanic ,14303,10595,,3088
12099c," Palm Beach County, FL ", Latino ,188528,136521,10473,41534
12099c," Palm Beach County, FL ", Non-Hispanic American Indian ,,,,
12099c," Palm Beach County, FL ", Non-Hispanic Asian ,25105,19301,,5460
12099c," Palm Beach County, FL ", Non-Hispanic black ,155903,108158,16249,31496
12099c," Palm Beach County, FL ", Non-Hispanic white ,420047,316483,15667,87897
12099c," Palm Beach County, FL ", Total ,805002,591818,43435,169749
12103c," Pinellas County, FL ", All other non-Hispanic ,11155,8052,,2585
12103c," Pinellas County, FL ", Latino ,53216,40182,2646,10388
12103c," Pinellas County, FL ", Non-Hispanic American Indian ,1745,1215,,
12103c," Pinellas County, FL ", Non-Hispanic Asian ,21792,16517,,5044
12103c," Pinellas County, FL ", Non-Hispanic black ,58339,35556,6104,16679
12103c," Pinellas County, FL ", Non-Hispanic white ,412151,303221,16751,92179
12103c," Pinellas County, FL ", Total ,558398,404743,26250,127405
12105c," Polk County, FL ", All other non-Hispanic ,5491,2693,,2043
12105c," Polk County, FL ", Latino ,78872,51050,4992,22830
12105c," Polk County, FL ", Non-Hispanic American Indian ,974,789,,
12105c," Polk County, FL ", Non-Hispanic Asian ,8222,5887,,2127
12105c," Polk County, FL ", Non-Hispanic black ,54721,36546,4230,13945
12105c," Polk County, FL ", Non-Hispanic white ,218187,148725,11008,58454
12105c," Polk County, FL ", Total ,366467,245690,21193,99584
13067c," Cobb County, GA ", All other non-Hispanic ,11718,9407,,1968
13067c," Cobb County, GA ", Latino ,56332,41597,2795,11940
13067c," Cobb County, GA ", Non-Hispanic American Indian ,,,,
13067c," Cobb County, GA ", Non-Hispanic Asian ,25927,19266,,6379
13067c," Cobb County, GA ", Non-Hispanic black ,127666,101260,8442,17964
13067c," Cobb County, GA ", Non-Hispanic white ,248082,193669,10339,44074
13067c," Cobb County, GA ", Total ,470173,365543,22252,82378
13089c," DeKalb County, GA ", All other non-Hispanic ,7959,5871,,1785
13089c," DeKalb County, GA ", Latino ,36151,27427,1986,6738
13089c," DeKalb County, GA ", Non-Hispanic American Indian ,,,,
13089c," DeKalb County, GA ", Non-Hispanic Asian ,29304,20224,,8525
13089c," DeKalb County, GA ", Non-Hispanic black ,249818,173419,22584,53815
13089c," DeKalb County, GA ", Non-Hispanic white ,127103,104294,4340,18469
13089c," DeKalb County, GA ", Total ,451687,332223,29837,89627
13121c," Fulton County, GA ", All other non-Hispanic ,7935,5429,,1227
13121c," Fulton County, GA ", Latino ,45267,33500,3855,7912
13121c," Fulton County, GA ", Non-Hispanic American Indian ,1848,1019,,
13121c," Fulton County, GA ", Non-Hispanic Asian ,46764,34593,1945,10226
13121c," Fulton County, GA ", Non-Hispanic black ,277855,193138,20677,64040
13121c," Fulton County, GA ", Non-Hispanic white ,281306,228180,7305,45821
13121c," Fulton County, GA ", Total ,660975,495859,35061,130055
13135c," Gwinnett County, GA ", All other non-Hispanic ,7386,4774,,1795
13135c," Gwinnett County, GA ", Latino ,111158,81662,3838,25658
13135c," Gwinnett County, GA ", Non-Hispanic American Indian ,,,,
13135c," Gwinnett County, GA ", Non-Hispanic Asian ,69581,51625,2198,15758
13135c," Gwinnett County, GA ", Non-Hispanic black ,151971,111737,10655,29579
